run_id,ts_utc,op_index,type,query_name,elapsed_ms,status,error
20260127_190157,2026-01-27T19:02:03.597521Z,0,READ,R5_avg_total_by_status,20.063,OK,
20260127_190157,2026-01-27T19:02:03.601255Z,1,WRITE,W5_audit_log,3.675,OK,
20260127_190157,2026-01-27T19:02:03.601788Z,2,READ,R1_orders_by_customer,0.525,OK,
20260127_190157,2026-01-27T19:02:03.646018Z,3,READ,R2_revenue_by_city,44.218,OK,
20260127_190157,2026-01-27T19:02:03.646554Z,4,READ,R2_revenue_by_city,0.509,OK,
20260127_190157,2026-01-27T19:02:03.646971Z,5,READ,R5_avg_total_by_status,0.408,OK,
20260127_190157,2026-01-27T19:02:03.647380Z,6,READ,R2_revenue_by_city,0.402,OK,
20260127_190157,2026-01-27T19:02:03.647846Z,7,READ,R5_avg_total_by_status,0.46,OK,
20260127_190157,2026-01-27T19:02:03.656989Z,8,READ,R3_top_products,9.135,OK,
20260127_190157,2026-01-27T19:02:03.657736Z,9,READ,R1_orders_by_customer,0.734,OK,
20260127_190157,2026-01-27T19:02:03.658148Z,10,READ,R2_revenue_by_city,0.406,OK,
20260127_190157,2026-01-27T19:02:03.658564Z,11,READ,R5_avg_total_by_status,0.41,OK,
20260127_190157,2026-01-27T19:02:03.659043Z,12,READ,R3_top_products,0.471,OK,
20260127_190157,2026-01-27T19:02:03.663120Z,13,READ,R4_recent_customers,4.07,OK,
20260127_190157,2026-01-27T19:02:03.663718Z,14,READ,R2_revenue_by_city,0.59,OK,
20260127_190157,2026-01-27T19:02:03.663764Z,15,WRITE,UNKNOWN,0.038,FAIL,2 params bound not matching 3 required
20260127_190157,2026-01-27T19:02:03.664248Z,16,READ,R3_top_products,0.47,OK,
20260127_190157,2026-01-27T19:02:03.664717Z,17,READ,R3_top_products,0.462,OK,
20260127_190157,2026-01-27T19:02:03.664756Z,18,WRITE,UNKNOWN,0.03,FAIL,2 params bound not matching 4 required
20260127_190157,2026-01-27T19:02:03.665419Z,19,READ,R1_orders_by_customer,0.652,OK,
20260127_190157,2026-01-27T19:02:03.665853Z,20,READ,R2_revenue_by_city,0.427,OK,
20260127_190157,2026-01-27T19:02:03.665877Z,21,WRITE,UNKNOWN,0.019,FAIL,2 params bound not matching 3 required
