run_id,ts_utc,op_index,type,query_name,elapsed_ms,status,error
20260127_144614,2026-01-27T14:46:14.971294+00:00Z,0,READ,R2_revenue_by_city,82.308,OK,
20260127_144614,2026-01-27T14:46:14.978127+00:00Z,1,READ,R1_orders_by_customer,6.796,OK,
20260127_144614,2026-01-27T14:46:14.978209+00:00Z,2,WRITE,UNKNOWN,0.06,FAIL,2 params bound not matching 3 required
20260127_144614,2026-01-27T14:46:14.979384+00:00Z,3,READ,R1_orders_by_customer,1.156,OK,
20260127_144614,2026-01-27T14:46:14.980067+00:00Z,4,READ,R1_orders_by_customer,0.671,OK,
20260127_144614,2026-01-27T14:46:14.980621+00:00Z,5,READ,R2_revenue_by_city,0.544,OK,
20260127_144614,2026-01-27T14:46:14.984826+00:00Z,6,READ,R4_recent_customers,4.195,OK,
20260127_144614,2026-01-27T14:46:14.987849+00:00Z,7,READ,R5_avg_total_by_status,3.009,OK,
20260127_144614,2026-01-27T14:46:14.988464+00:00Z,8,READ,R2_revenue_by_city,0.601,OK,
20260127_144614,2026-01-27T14:46:14.989019+00:00Z,9,READ,R5_avg_total_by_status,0.543,OK,
20260127_144614,2026-01-27T14:46:14.991591+00:00Z,10,WRITE,W5_audit_log,2.56,OK,
20260127_144614,2026-01-27T14:46:14.992246+00:00Z,11,READ,R1_orders_by_customer,0.642,OK,
20260127_144614,2026-01-27T14:46:14.992776+00:00Z,12,READ,R2_revenue_by_city,0.517,OK,
20260127_144614,2026-01-27T14:46:14.993243+00:00Z,13,READ,R2_revenue_by_city,0.456,OK,
20260127_144614,2026-01-27T14:46:14.993726+00:00Z,14,READ,R5_avg_total_by_status,0.472,OK,
20260127_144614,2026-01-27T14:46:14.994216+00:00Z,15,READ,R2_revenue_by_city,0.479,OK,
20260127_144614,2026-01-27T14:46:14.994647+00:00Z,16,READ,R5_avg_total_by_status,0.42,OK,
20260127_144614,2026-01-27T14:46:15.003169+00:00Z,17,READ,R3_top_products,8.514,OK,
20260127_144614,2026-01-27T14:46:15.003911+00:00Z,18,READ,R1_orders_by_customer,0.726,OK,
20260127_144614,2026-01-27T14:46:15.004456+00:00Z,19,READ,R2_revenue_by_city,0.52,OK,
20260127_144614,2026-01-27T14:46:15.004936+00:00Z,20,READ,R5_avg_total_by_status,0.467,OK,
20260127_144614,2026-01-27T14:46:15.005451+00:00Z,21,READ,R3_top_products,0.504,OK,
20260127_144614,2026-01-27T14:46:15.006004+00:00Z,22,READ,R4_recent_customers,0.542,OK,
20260127_144614,2026-01-27T14:46:15.006481+00:00Z,23,READ,R2_revenue_by_city,0.465,OK,
20260127_144614,2026-01-27T14:46:15.006537+00:00Z,24,WRITE,UNKNOWN,0.044,FAIL,2 params bound not matching 3 required
20260127_144614,2026-01-27T14:46:15.007051+00:00Z,25,READ,R3_top_products,0.497,OK,
20260127_144614,2026-01-27T14:46:15.007539+00:00Z,26,READ,R3_top_products,0.476,OK,
20260127_144614,2026-01-27T14:46:15.007591+00:00Z,27,WRITE,UNKNOWN,0.041,FAIL,2 params bound not matching 4 required
20260127_144614,2026-01-27T14:46:15.008211+00:00Z,28,READ,R1_orders_by_customer,0.605,OK,
20260127_144614,2026-01-27T14:46:15.008610+00:00Z,29,READ,R2_revenue_by_city,0.388,OK,
20260127_144614,2026-01-27T14:46:15.008638+00:00Z,30,WRITE,UNKNOWN,0.023,FAIL,2 params bound not matching 3 required
20260127_144614,2026-01-27T14:46:15.015377+00:00Z,31,WRITE,UNKNOWN,6.729,FAIL,Statement Execute Failed: [IBM][CLI Driver] CLI0112E  Error in assignment. SQLSTATE=22005 SQLCODE=-99999
20260127_144614,2026-01-27T14:46:15.016068+00:00Z,32,READ,R1_orders_by_customer,0.661,OK,
20260127_144614,2026-01-27T14:46:15.016523+00:00Z,33,READ,R3_top_products,0.443,OK,
20260127_144614,2026-01-27T14:46:15.016872+00:00Z,34,READ,R3_top_products,0.343,OK,
20260127_144614,2026-01-27T14:46:15.017213+00:00Z,35,READ,R5_avg_total_by_status,0.336,OK,
20260127_144614,2026-01-27T14:46:15.017238+00:00Z,36,WRITE,UNKNOWN,0.019,FAIL,2 params bound not matching 3 required
20260127_144614,2026-01-27T14:46:15.017263+00:00Z,37,WRITE,UNKNOWN,0.018,FAIL,2 params bound not matching 4 required
20260127_144614,2026-01-27T14:46:15.017720+00:00Z,38,READ,R1_orders_by_customer,0.45,OK,
20260127_144614,2026-01-27T14:46:15.017745+00:00Z,39,WRITE,UNKNOWN,0.019,FAIL,2 params bound not matching 4 required
20260127_144614,2026-01-27T14:46:15.018100+00:00Z,40,READ,R4_recent_customers,0.348,OK,
20260127_144614,2026-01-27T14:46:15.018413+00:00Z,41,READ,R4_recent_customers,0.307,OK,
20260127_144614,2026-01-27T14:46:15.018435+00:00Z,42,WRITE,UNKNOWN,0.017,FAIL,2 params bound not matching 4 required
20260127_144614,2026-01-27T14:46:15.018762+00:00Z,43,READ,R4_recent_customers,0.321,OK,
20260127_144614,2026-01-27T14:46:15.019050+00:00Z,44,READ,R5_avg_total_by_status,0.281,OK,
20260127_144614,2026-01-27T14:46:15.019466+00:00Z,45,READ,R1_orders_by_customer,0.41,OK,
20260127_144614,2026-01-27T14:46:15.019487+00:00Z,46,WRITE,UNKNOWN,0.017,FAIL,2 params bound not matching 3 required
20260127_144614,2026-01-27T14:46:15.019768+00:00Z,47,WRITE,UNKNOWN,0.275,FAIL,Statement Execute Failed: [IBM][CLI Driver] CLI0112E  Error in assignment. SQLSTATE=22005 SQLCODE=-99999
20260127_144614,2026-01-27T14:46:15.020103+00:00Z,48,READ,R4_recent_customers,0.323,OK,
20260127_144614,2026-01-27T14:46:15.020415+00:00Z,49,READ,R4_recent_customers,0.308,OK,
20260127_144614,2026-01-27T14:46:15.020785+00:00Z,50,READ,R3_top_products,0.366,OK,
20260127_144614,2026-01-27T14:46:15.021050+00:00Z,51,WRITE,UNKNOWN,0.261,FAIL,Statement Execute Failed: [IBM][CLI Driver] CLI0112E  Error in assignment. SQLSTATE=22005 SQLCODE=-99999
20260127_144614,2026-01-27T14:46:15.021077+00:00Z,52,WRITE,UNKNOWN,0.017,FAIL,2 params bound not matching 4 required
20260127_144614,2026-01-27T14:46:15.021098+00:00Z,53,WRITE,UNKNOWN,0.015,FAIL,2 params bound not matching 4 required
20260127_144614,2026-01-27T14:46:15.021414+00:00Z,54,READ,R4_recent_customers,0.31,OK,
20260127_144614,2026-01-27T14:46:15.021437+00:00Z,55,WRITE,UNKNOWN,0.015,FAIL,2 params bound not matching 3 required
20260127_144614,2026-01-27T14:46:15.021721+00:00Z,56,READ,R2_revenue_by_city,0.278,OK,
20260127_144614,2026-01-27T14:46:15.022014+00:00Z,57,READ,R2_revenue_by_city,0.289,OK,
20260127_144614,2026-01-27T14:46:15.022425+00:00Z,58,READ,R5_avg_total_by_status,0.405,OK,
20260127_144614,2026-01-27T14:46:15.022865+00:00Z,59,READ,R3_top_products,0.424,OK,
20260127_144614,2026-01-27T14:46:15.023288+00:00Z,60,READ,R4_recent_customers,0.413,OK,
20260127_144614,2026-01-27T14:46:15.023727+00:00Z,61,READ,R5_avg_total_by_status,0.423,OK,
20260127_144614,2026-01-27T14:46:15.024122+00:00Z,62,READ,R2_revenue_by_city,0.391,OK,
20260127_144614,2026-01-27T14:46:15.024520+00:00Z,63,READ,R5_avg_total_by_status,0.394,OK,
20260127_144614,2026-01-27T14:46:15.024539+00:00Z,64,WRITE,UNKNOWN,0.016,FAIL,2 params bound not matching 3 required
20260127_144614,2026-01-27T14:46:15.024922+00:00Z,65,READ,R5_avg_total_by_status,0.377,OK,
