run_id,ts_utc,op_index,type,query_name,elapsed_ms,status,error
20260127_150819,2026-01-27T15:08:19.640991Z,0,READ,R5_avg_total_by_status,6.818,OK,
20260127_150819,2026-01-27T15:08:19.644105Z,1,WRITE,W5_audit_log,3.094,OK,
20260127_150819,2026-01-27T15:08:19.644744Z,2,READ,R1_orders_by_customer,0.625,OK,
20260127_150819,2026-01-27T15:08:19.662024Z,3,READ,R2_revenue_by_city,17.27,OK,
20260127_150819,2026-01-27T15:08:19.662582Z,4,READ,R2_revenue_by_city,0.54,OK,
20260127_150819,2026-01-27T15:08:19.663022Z,5,READ,R5_avg_total_by_status,0.435,OK,
20260127_150819,2026-01-27T15:08:19.663455Z,6,READ,R2_revenue_by_city,0.429,OK,
20260127_150819,2026-01-27T15:08:19.663921Z,7,READ,R5_avg_total_by_status,0.459,OK,
20260127_150819,2026-01-27T15:08:19.671754Z,8,READ,R3_top_products,7.826,OK,
20260127_150819,2026-01-27T15:08:19.672357Z,9,READ,R1_orders_by_customer,0.596,OK,
20260127_150819,2026-01-27T15:08:19.672783Z,10,READ,R2_revenue_by_city,0.421,OK,
20260127_150819,2026-01-27T15:08:19.673213Z,11,READ,R5_avg_total_by_status,0.42,OK,
20260127_150819,2026-01-27T15:08:19.673615Z,12,READ,R3_top_products,0.397,OK,
20260127_150819,2026-01-27T15:08:19.676301Z,13,READ,R4_recent_customers,2.681,OK,
20260127_150819,2026-01-27T15:08:19.676730Z,14,READ,R2_revenue_by_city,0.423,OK,
20260127_150819,2026-01-27T15:08:19.676764Z,15,WRITE,UNKNOWN,0.024,FAIL,2 params bound not matching 3 required
20260127_150819,2026-01-27T15:08:19.677206Z,16,READ,R3_top_products,0.435,OK,
20260127_150819,2026-01-27T15:08:19.677600Z,17,READ,R3_top_products,0.39,OK,
20260127_150819,2026-01-27T15:08:19.677619Z,18,WRITE,UNKNOWN,0.014,FAIL,2 params bound not matching 4 required
20260127_150819,2026-01-27T15:08:19.678172Z,19,READ,R1_orders_by_customer,0.549,OK,
20260127_150819,2026-01-27T15:08:19.678566Z,20,READ,R2_revenue_by_city,0.391,OK,
20260127_150819,2026-01-27T15:08:19.678581Z,21,WRITE,UNKNOWN,0.011,FAIL,2 params bound not matching 3 required
20260127_150819,2026-01-27T15:08:19.683973Z,22,WRITE,UNKNOWN,5.388,FAIL,Statement Execute Failed: [IBM][CLI Driver] CLI0112E  Error in assignment. SQLSTATE=22005 SQLCODE=-99999
20260127_150819,2026-01-27T15:08:19.684522Z,23,READ,R1_orders_by_customer,0.541,OK,
