run_id,ts_utc,op_index,type,query_name,elapsed_ms,status,error
20260127_190509,2026-01-27T19:05:09.834257Z,0,READ,R5_avg_total_by_status,2.547,OK,
20260127_190509,2026-01-27T19:05:09.836922Z,1,WRITE,W5_audit_log,2.643,OK,
20260127_190509,2026-01-27T19:05:09.837784Z,2,READ,R1_orders_by_customer,0.836,OK,
20260127_190509,2026-01-27T19:05:09.841342Z,3,READ,R2_revenue_by_city,3.541,OK,
20260127_190509,2026-01-27T19:05:09.841782Z,4,READ,R2_revenue_by_city,0.425,OK,
20260127_190509,2026-01-27T19:05:09.842155Z,5,READ,R5_avg_total_by_status,0.365,OK,
20260127_190509,2026-01-27T19:05:09.842494Z,6,READ,R2_revenue_by_city,0.335,OK,
20260127_190509,2026-01-27T19:05:09.842874Z,7,READ,R5_avg_total_by_status,0.374,OK,
20260127_190509,2026-01-27T19:05:09.845541Z,8,READ,R3_top_products,2.659,OK,
20260127_190509,2026-01-27T19:05:09.846042Z,9,READ,R1_orders_by_customer,0.492,OK,
20260127_190509,2026-01-27T19:05:09.846572Z,10,READ,R2_revenue_by_city,0.523,OK,
20260127_190509,2026-01-27T19:05:09.846973Z,11,READ,R5_avg_total_by_status,0.394,OK,
20260127_190509,2026-01-27T19:05:09.847366Z,12,READ,R3_top_products,0.388,OK,
20260127_190509,2026-01-27T19:05:09.849267Z,13,READ,R4_recent_customers,1.895,OK,
20260127_190509,2026-01-27T19:05:09.849850Z,14,READ,R2_revenue_by_city,0.574,OK,
20260127_190509,2026-01-27T19:05:09.849885Z,15,WRITE,UNKNOWN,0.027,FAIL,2 params bound not matching 3 required
20260127_190509,2026-01-27T19:05:09.850340Z,16,READ,R3_top_products,0.449,OK,
20260127_190509,2026-01-27T19:05:09.850799Z,17,READ,R3_top_products,0.455,OK,
20260127_190509,2026-01-27T19:05:09.850818Z,18,WRITE,UNKNOWN,0.014,FAIL,2 params bound not matching 4 required
20260127_190509,2026-01-27T19:05:09.851399Z,19,READ,R1_orders_by_customer,0.575,OK,
20260127_190509,2026-01-27T19:05:09.851854Z,20,READ,R2_revenue_by_city,0.448,OK,
20260127_190509,2026-01-27T19:05:09.851882Z,21,WRITE,UNKNOWN,0.017,FAIL,2 params bound not matching 3 required
20260127_190509,2026-01-27T19:05:09.854152Z,22,WRITE,UNKNOWN,2.264,FAIL,Statement Execute Failed: [IBM][CLI Driver] CLI0112E  Error in assignment. SQLSTATE=22005 SQLCODE=-99999
20260127_190509,2026-01-27T19:05:09.854754Z,23,READ,R1_orders_by_customer,0.589,OK,
20260127_190509,2026-01-27T19:05:09.855191Z,24,READ,R3_top_products,0.432,OK,
20260127_190509,2026-01-27T19:05:09.855607Z,25,READ,R3_top_products,0.412,OK,
20260127_190509,2026-01-27T19:05:09.855973Z,26,READ,R5_avg_total_by_status,0.364,OK,
20260127_190509,2026-01-27T19:05:09.855987Z,27,WRITE,UNKNOWN,0.011,FAIL,2 params bound not matching 3 required
20260127_190509,2026-01-27T19:05:09.855998Z,28,WRITE,UNKNOWN,0.007,FAIL,2 params bound not matching 4 required
20260127_190509,2026-01-27T19:05:09.856444Z,29,READ,R1_orders_by_customer,0.443,OK,
20260127_190509,2026-01-27T19:05:09.856454Z,30,WRITE,UNKNOWN,0.008,FAIL,2 params bound not matching 4 required
20260127_190509,2026-01-27T19:05:09.856828Z,31,READ,R4_recent_customers,0.371,OK,
20260127_190509,2026-01-27T19:05:09.857205Z,32,READ,R4_recent_customers,0.375,OK,
20260127_190509,2026-01-27T19:05:09.857216Z,33,WRITE,UNKNOWN,0.008,FAIL,2 params bound not matching 4 required
20260127_190509,2026-01-27T19:05:09.857558Z,34,READ,R4_recent_customers,0.338,OK,
20260127_190509,2026-01-27T19:05:09.857972Z,35,READ,R5_avg_total_by_status,0.403,OK,
20260127_190509,2026-01-27T19:05:09.858417Z,36,READ,R1_orders_by_customer,0.439,OK,
20260127_190509,2026-01-27T19:05:09.858435Z,37,WRITE,UNKNOWN,0.014,FAIL,2 params bound not matching 3 required
20260127_190509,2026-01-27T19:05:09.858750Z,38,WRITE,UNKNOWN,0.311,FAIL,Statement Execute Failed: [IBM][CLI Driver] CLI0112E  Error in assignment. SQLSTATE=22005 SQLCODE=-99999
20260127_190509,2026-01-27T19:05:09.859065Z,39,READ,R4_recent_customers,0.309,OK,
20260127_190509,2026-01-27T19:05:09.859373Z,40,READ,R4_recent_customers,0.303,OK,
20260127_190509,2026-01-27T19:05:09.859781Z,41,READ,R3_top_products,0.404,OK,
20260127_190509,2026-01-27T19:05:09.860044Z,42,WRITE,UNKNOWN,0.26,FAIL,Statement Execute Failed: [IBM][CLI Driver] CLI0112E  Error in assignment. SQLSTATE=22005 SQLCODE=-99999
20260127_190509,2026-01-27T19:05:09.860059Z,43,WRITE,UNKNOWN,0.009,FAIL,2 params bound not matching 4 required
20260127_190509,2026-01-27T19:05:09.860068Z,44,WRITE,UNKNOWN,0.006,FAIL,2 params bound not matching 4 required
20260127_190509,2026-01-27T19:05:09.860377Z,45,READ,R4_recent_customers,0.307,OK,
20260127_190509,2026-01-27T19:05:09.860388Z,46,WRITE,UNKNOWN,0.008,FAIL,2 params bound not matching 3 required
20260127_190509,2026-01-27T19:05:09.860758Z,47,READ,R2_revenue_by_city,0.366,OK,
