run_id,ts_utc,op_index,type,query_name,elapsed_ms,status,error
20260127_190148,2026-01-27T19:01:49.333816Z,0,READ,R5_avg_total_by_status,19.724,OK,
20260127_190148,2026-01-27T19:01:49.337304Z,1,WRITE,W5_audit_log,3.466,OK,
20260127_190148,2026-01-27T19:01:49.337888Z,2,READ,R1_orders_by_customer,0.575,OK,
20260127_190148,2026-01-27T19:01:49.379068Z,3,READ,R2_revenue_by_city,41.169,OK,
20260127_190148,2026-01-27T19:01:49.379677Z,4,READ,R2_revenue_by_city,0.578,OK,
20260127_190148,2026-01-27T19:01:49.380169Z,5,READ,R5_avg_total_by_status,0.473,OK,
20260127_190148,2026-01-27T19:01:49.380689Z,6,READ,R2_revenue_by_city,0.497,OK,
20260127_190148,2026-01-27T19:01:49.381220Z,7,READ,R5_avg_total_by_status,0.516,OK,
20260127_190148,2026-01-27T19:01:49.390257Z,8,READ,R3_top_products,9.023,OK,
20260127_190148,2026-01-27T19:01:49.390941Z,9,READ,R1_orders_by_customer,0.668,OK,
20260127_190148,2026-01-27T19:01:49.391416Z,10,READ,R2_revenue_by_city,0.462,OK,
20260127_190148,2026-01-27T19:01:49.391899Z,11,READ,R5_avg_total_by_status,0.463,OK,
20260127_190148,2026-01-27T19:01:49.392428Z,12,READ,R3_top_products,0.517,OK,
20260127_190148,2026-01-27T19:01:49.396443Z,13,READ,R4_recent_customers,4.001,OK,
20260127_190148,2026-01-27T19:01:49.396992Z,14,READ,R2_revenue_by_city,0.536,OK,
20260127_190148,2026-01-27T19:01:49.397060Z,15,WRITE,UNKNOWN,0.055,FAIL,2 params bound not matching 3 required
20260127_190148,2026-01-27T19:01:49.397627Z,16,READ,R3_top_products,0.546,OK,
20260127_190148,2026-01-27T19:01:49.398155Z,17,READ,R3_top_products,0.516,OK,
20260127_190148,2026-01-27T19:01:49.398216Z,18,WRITE,UNKNOWN,0.046,FAIL,2 params bound not matching 4 required
20260127_190148,2026-01-27T19:01:49.398903Z,19,READ,R1_orders_by_customer,0.669,OK,
20260127_190148,2026-01-27T19:01:49.399400Z,20,READ,R2_revenue_by_city,0.483,OK,
20260127_190148,2026-01-27T19:01:49.399440Z,21,WRITE,UNKNOWN,0.027,FAIL,2 params bound not matching 3 required
20260127_190148,2026-01-27T19:01:49.405895Z,22,WRITE,UNKNOWN,6.444,FAIL,Statement Execute Failed: [IBM][CLI Driver] CLI0112E  Error in assignment. SQLSTATE=22005 SQLCODE=-99999
